 Vbg, Id_Vjg=-1.5V, Id_Vjg=-1.25V, Id_Vjg=-1V, Id_Vjg=-0.75V, Id_Vjg=-0.5V, Id_Vjg=-0.25V, Id_Vjg=0V
-8.4,1.24E-09,1.48E-09,1.99E-09,2.39E-09,3.29E-09,5.86E-09,1.09E-08
-8.35,1.21E-09,1.50E-09,2.00E-09,2.53E-09,3.39E-09,5.90E-09,1.13E-08
-8.3,1.32E-09,1.53E-09,2.13E-09,2.53E-09,3.45E-09,6.12E-09,1.13E-08
-8.25,1.27E-09,1.54E-09,2.19E-09,2.69E-09,3.66E-09,6.32E-09,1.15E-08
-8.2,1.35E-09,1.61E-09,2.22E-09,2.73E-09,3.75E-09,6.34E-09,1.17E-08
-8.15,1.39E-09,1.74E-09,2.39E-09,2.83E-09,3.85E-09,6.65E-09,1.20E-08
-8.1,1.35E-09,1.76E-09,2.39E-09,2.96E-09,4.05E-09,6.84E-09,1.20E-08
-8.05,1.49E-09,1.85E-09,2.50E-09,3.01E-09,4.13E-09,6.86E-09,1.23E-08
-8,1.51E-09,1.89E-09,2.59E-09,3.18E-09,4.30E-09,7.12E-09,1.24E-08
-7.95,1.58E-09,1.94E-09,2.63E-09,3.24E-09,4.38E-09,7.27E-09,1.27E-08
-7.9,1.66E-09,2.06E-09,2.80E-09,3.32E-09,4.50E-09,7.50E-09,1.29E-08
-7.85,1.66E-09,2.08E-09,2.80E-09,3.51E-09,4.69E-09,7.64E-09,1.33E-08
-7.8,1.77E-09,2.24E-09,2.91E-09,3.57E-09,4.77E-09,7.87E-09,1.34E-08
-7.75,1.81E-09,2.22E-09,3.05E-09,3.72E-09,5.03E-09,8.06E-09,1.36E-08
